ID,AREA,MCD,COUNTY,MCD_NAME,TYPE,POP2000,SRTSFUNDED,SRTSUNFUND,STIPFUNDED,STIPUNFUND,TTLFUNDED,TTLUNFUND,POINT_X,POINT_Y
2391481.00000000000,0.19000000000,2711156014,27111,Rothsay,City,172.00000000000,2,0,0,0,2,0,-96.27689139400,46.47523844810
2550753.00000000000,2.03000000000,2712553476,27125,Red Lake Falls,City,1559.00000000000,0,0,0,1,0,1,-96.27303248200,47.88397263950
2453157.00000000000,1.47000000000,2711103970,27111,Battle Lake,City,697.00000000000,2,1,0,0,2,1,-95.72010451650,46.28347367030
2453213.00000000000,34.38000000000,2711120024,27111,Everts,Township,777.00000000000,0,0,3,0,3,0,-95.71822604050,46.33331409660
2469576.00000000000,3.37000000000,2711128520,27111,Henning,City,725.00000000000,0,0,0,1,0,1,-95.44232260750,46.32335034110
35802.00000000000,47.79000000000,2701152576,27011,Prior,Township,223.00000000000,0,0,1,0,1,0,-96.55069390700,45.44196065760
216844.00000000000,0.99000000000,2708902134,27089,Argyle,City,656.00000000000,1,1,0,0,1,1,-96.81621117170,48.33288215300
93352.00000000000,3.31000000000,2702715976,27027,Dilworth,City,3016.00000000000,2,1,4,0,6,1,-96.69836643280,46.87940048630
86206.00000000000,19.75000000000,2702743864,27027,Moorhead,City,32400.00000000000,0,1,6,7,6,8,-96.74244633650,46.85867454730
229251.00000000000,35.99000000000,2708968044,27089,Wanger,Township,95.00000000000,0,0,0,1,0,1,-96.71471595670,48.41316160410
229305.00000000000,36.18000000000,2708921500,27089,Foldahl,Township,94.00000000000,0,0,0,1,0,1,-96.56574357960,48.32612261640
229354.00000000000,36.00000000000,2708971842,27089,Wright,Township,126.00000000000,0,0,1,0,1,0,-96.58401123900,48.41318591090
229713.00000000000,1.52000000000,2706932444,27069,Karlstad,City,794.00000000000,0,0,1,0,1,0,-96.51667707180,48.57791394870
1739923.00000000000,1.67000000000,2709756176,27097,Royalton,City,816.00000000000,0,1,0,0,0,1,-94.29186028550,45.83222279890
1773427.00000000000,7.76000000000,2709737556,27097,Little Falls,City,8269.00000000000,1,0,0,0,1,0,-94.36193894130,45.97858061360
2186597.00000000000,32.22000000000,2710927692,27109,Haverhill,Township,1523.00000000000,0,0,0,2,0,2,-92.37363922850,44.06662168930
2150468.00000000000,2.67000000000,2704972328,27049,Zumbrota,City,2805.00000000000,0,1,0,0,0,1,-92.67333379090,44.29215796250
2150548.00000000000,32.52000000000,2710932282,27109,Kalmar,Township,1203.00000000000,0,0,0,1,0,1,-92.61627548920,44.06731177620
2144622.00000000000,31.74000000000,2703940004,27039,Mantorville,Township,1597.00000000000,0,0,0,2,0,2,-92.70813399660,44.06512709470
1973511.00000000000,14.59000000000,2714749300,27147,Owatonna,City,22478.00000000000,0,1,0,0,0,1,-93.23120790910,44.08511147460
1507759.00000000000,1.02000000000,2713144296,27131,Morristown,City,989.00000000000,0,1,0,0,0,1,-93.44459665780,44.22469618730
1668848.00000000000,3.88000000000,2714557130,27145,St. Joseph,City,4832.00000000000,0,1,0,0,0,1,-94.30714408780,45.56101951070
1668953.00000000000,8.93000000000,2714567612,27145,Waite Park,City,6650.00000000000,0,0,1,0,1,0,-94.24098851070,45.53226437540
341580.00000000000,1.28000000000,2706328700,27063,Heron Lake,City,769.00000000000,1,0,0,1,1,1,-95.32431632360,43.79648375740
1662114.00000000000,30.10000000000,2714555078,27145,Rockville,City,2393.00000000000,0,0,0,4,0,4,-94.32229177760,45.46491339500
1463064.00000000000,1.04000000000,2701339320,27013,Madison Lake,City,863.00000000000,0,1,0,0,0,1,-93.81605221800,44.20487103850
1457834.00000000000,3.20000000000,2717143810,27171,Montrose,City,1456.00000000000,1,0,1,0,2,0,-93.90704735730,45.06459317930
1502020.00000000000,5.18000000000,2716168296,27161,Waseca,City,8508.00000000000,1,1,1,0,2,1,-93.50232793860,44.08269485520
402962.00000000000,16.90000000000,2709120330,27091,Fairmont,City,10896.00000000000,2,1,0,0,2,1,-94.46182814050,43.64404516560
1646135.00000000000,34.02000000000,2709314896,27093,Dassel,Township,1348.00000000000,0,0,1,0,1,0,-94.34816378200,45.10927188450
